id,message,original,genre,related,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report
12405,HURRICANE animation #needshower @SoHo http : //t.co/7wRh1AnL,,social,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12405,HURRICANE LIFE #liveliness needshower @SoHo http : //t.co/7wRh1AnL,,social,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12405,HURRICANE LIFETIME #needshower @SoHo http : //t.co/7wRh1AnL,,social,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12405,HURRICANE LIFE #http @SoHo needshower : //t.co/7wRh1AnL,,social,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12405,HURRICANE LIFE # @SoHo http : //t.co/7wRh1AnL,,social,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12405,HURRICANE lifetime #needshower @SoHo http : //t.co/7wRh1AnL,,social,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12407,Ventured south to #LowerManhattan to verifies on @jess_shiller 's probability . There was one lone food vendor on Wall St. http : //t.co/a7ZgOWJw #sandy,,social,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12407,Ventured south to #LowerManhattan to baulk on @jess_shiller 's pertinent . There was one lone food vendor on Wall St. http : //t.co/a7ZgOWJw #sandy,,social,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12407,Ventured south to #LowerManhattan to check on @jess_shiller 's apt . There was one lone food vendor on St. http : //t.co/a7ZgOWJw #,,social,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12407,Ventured south to #LowerManhattan to check on @food 's apt . There was one lone jess_shiller vendor on Wall St. http : //t.co/a7ZgOWJw #sandy,,social,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12407,Ventured south to #LowerManhattan to control on @jess_shiller 's apt . There was one lone food vendor on wall St. http : //t.co/a7ZgOWJw #sandy,,social,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12407,Ventured HTTP south to #LowerManhattan to check on @jess_shiller 's apt . There was one lone food vendor on Wall St. http : //t.co/a7ZgOWJw #sandy,,social,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12408,New Yorkers : Come volunteer w/ to on LES at 46 Hestor 10 AM . Delivering meds us elderly still in highrises being flashlight . #SandyHelp,,social,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12408,New Yorkers : ejaculate volunteer w/ us on LES at 46 Hestor 10 AM . Delivering meds to elderly relieve in highrises being flashlight . #SandyHelp,,social,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12408,New Yorkers : Come volunteer w/ us on LES at 46 Hestor 10 AM . redeem meds to elderly silence in highrises being flashlight . #SandyHelp,,social,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12408,New Yorkers : Come volunteer w/ us unexampled on LES at 46 Hestor 10 AM . Delivering meds to elderly still in highrises being flashlight . #SandyHelp,,social,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12408,New Yorkers : Arrive volunteer w/ us on LES at 46 Hestor 10 AM . Delivering medications to elderly still in highrises being flashlight . #SandyHelp,,social,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12408,New Yorkers : volunteer w/ on LES at 46 Hestor 10 AM . Delivering meds to elderly still in highrises being flashlight . #SandyHelp,,social,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12409,I can take help packing and distributing food and supplies,,direct,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12409,I can help packing and distributing food and add,,direct,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12409,I can help packing and distributing eating and supplies,,direct,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12409,I can and packing help distributing food and supplies,,direct,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12409,I can help packing and circularise food and supplies,,direct,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12409,I can packing and distributing food and supplies,,direct,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12410,I have a wide group from my church ready to donate money clothes food and other indispensable things this weekend,,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12410,I have a boastfully group from my church ready to donate money tog food and other necessary things this weekend,,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12410,I have a large group from my church ready to donate money clothes food and other stimulate necessary things this weekend,,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12410,I have a large group from my church ready to this money clothes food and other necessary things donate weekend,,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12410,ace have a big group from my church ready to donate money clothes food and other necessary things this weekend,,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12410,I a large from my church ready to donate money clothes food and other necessary things this weekend,,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12411,This lady 's really cooking up mad food in case cause of this ,,social,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
12411,This lady 's really cookery up mad food in case cause of this hurricane,,social,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
12411,This lady 's really cooking up mad food case in cause of this hurricane,,social,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
12411,This lady 'truly s really cooking up mad food in case cause of this hurricane,,social,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
12411,This lady 's really cooking up disturbed food in case cause of this hurricane,,social,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
12411,This lady 's really cooking up maniac food in case cause of this hurricane,,social,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
12412,"Creating a donated drive to collect whatever you need the most . Clothing , non-perishable , baby supplies , hygiene products , toys .",,direct,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12412,"Creating a donation drive to collect whatever you need the most . Clothing , non-perishable , baby contribution supplies , hygiene products , toys .",,direct,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12412,"Creating a donation drive to collect whatever you need the most . Clothing , non-perishable , baby supplies , hygiene production , toys .",,direct,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12412,"Creating a donation to collect whatever you need the most . Clothing , non-perishable , baby supplies , hygiene products , toys .",,direct,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
